State,District,Crop_Name,Season,Min_Temperature(C),Max_Temperature(C),Rainfall(mm),Humidity(%),Wind_Speed(km/h),Soil_Type,Suitable(Y/N)
Andhra Pradesh,Bapatla,Green gram,Rabi,25,40,700,40,5,Black,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,750,60,5,Black,Y
Andhra Pradesh,Chittoor,Rice,Zaid,14.6,41.5,324.4,54.3,29.7,Black,N
Andhra Pradesh,Chittoor,Wheat,Rabi,18.1,27.2,1253.3,90.5,3.9,Red,Y
Andhra Pradesh,Chittoor,Maize,Rabi,15.4,38.7,863.7,57.4,6,Sandy,N
Andhra Pradesh,Chittoor,Cotton,Kharif,14.6,26.9,390,85.9,12.2,Black,N
Andhra Pradesh,Chittoor,Sugarcane,Rabi,13.6,36.5,948.5,87.2,7.9,Black,Y
Andhra Pradesh,Chittoor,Soybean,Zaid,10.5,33,586.4,64.9,17.5,Clay,Y
Andhra Pradesh,Chittoor,Mustard,Kharif,13.8,38.4,406.9,48.2,5.9,Sandy,N
Andhra Pradesh,Chittoor,Potato,Zaid,9.7,25.5,1288,75,24,Clay,N
Andhra Pradesh,Chittoor,Onion,Zaid,11.2,33,837.4,89.5,24.5,Black,N
Andhra Pradesh,Chittoor,Tomato,Zaid,11.5,33.2,510.8,46.3,11.1,Red,Y
Andhra Pradesh,Chittoor,Barley,Annual,13.4,41.5,1408.7,69.6,25.5,Black,N
Andhra Pradesh,Chittoor,Millets,Kharif,14.8,37.8,537.6,84.6,3,Clay,N
Andhra Pradesh,Chittoor,Groundnut,Rabi,19.1,25.2,644.7,66,4.3,Black,Y
Andhra Pradesh,Chittoor,Sunflower,Annual,14.9,33.7,547.1,77.8,28.1,Red,N
Andhra Pradesh,Chittoor,Turmeric,Annual,17.3,36.5,450.3,70.3,12.6,Loamy,Y
Andhra Pradesh,Chittoor,Chilli,Kharif,21.5,43.7,1140.5,85.1,6.1,Red,N
Andhra Pradesh,Chittoor,Pulses,Annual,16.5,34,455.8,65.6,25.3,Alluvial,N
Andhra Pradesh,Chittoor,Tea,Kharif,20.5,27.7,859.6,52.4,22.1,Alluvial,N
Andhra Pradesh,Chittoor,Coffee,Zaid,17.8,39,470.8,89.9,12.2,Black,N
Andhra Pradesh,Chittoor,Jute,Kharif,11.5,33.6,680.1,79.2,27,Clay,N
Andhra Pradesh,Guntur,Rice,Kharif,17.4,30.8,1280.4,72.1,11.3,Loamy,N
Andhra Pradesh,Guntur,Wheat,Rabi,19.7,26.9,1237.9,61.2,14.6,Black,N
Andhra Pradesh,Guntur,Maize,Annual,12.5,26,1351.2,87,12,Alluvial,N
Andhra Pradesh,Guntur,Cotton,Rabi,8.2,32.4,1521.3,47.6,12.8,Alluvial,Y
Andhra Pradesh,Guntur,Sugarcane,Annual,21.1,30.9,448.4,70.9,7.3,Clay,N
Andhra Pradesh,Guntur,Soybean,Kharif,14.7,27.7,589.5,56,5.2,Black,Y
Andhra Pradesh,Guntur,Mustard,Rabi,21.3,36.3,1568.4,58.9,5.1,Laterite,Y
Andhra Pradesh,Guntur,Potato,Kharif,14.3,40.8,1673.3,75.9,21.1,Alluvial,Y
Andhra Pradesh,Guntur,Onion,Rabi,18.8,40.5,283.9,50.6,27.9,Black,Y
Andhra Pradesh,Guntur,Tomato,Kharif,17.8,26.5,1476.2,77.8,11.8,Alluvial,Y
Andhra Pradesh,Guntur,Barley,Kharif,9.6,32.9,1673.6,85.5,28.2,Red,N
Andhra Pradesh,Guntur,Millets,Rabi,20.3,29.8,1106.3,73.8,28.8,Black,N
Andhra Pradesh,Guntur,Groundnut,Zaid,8.9,27,879.2,63.2,5,Laterite,Y
Andhra Pradesh,Guntur,Sunflower,Annual,16.6,35,1225.3,76.9,17,Alluvial,Y
Andhra Pradesh,Guntur,Turmeric,Zaid,12.8,40.4,1091.5,77.3,4.2,Clay,Y
Andhra Pradesh,Guntur,Chilli,Rabi,8.1,37.9,1185.4,47.3,28.2,Alluvial,Y
Andhra Pradesh,Guntur,Pulses,Zaid,13.5,34.9,1407.4,92.1,13.7,Sandy,Y
Andhra Pradesh,Guntur,Tea,Zaid,10.5,40.1,1156.8,86.7,14,Alluvial,N
Andhra Pradesh,Guntur,Coffee,Zaid,11.4,43.1,1155.4,40.5,4.9,Clay,Y
Andhra Pradesh,Guntur,Jute,Zaid,9.3,25.4,1429,65.3,17.5,Laterite,Y
Andhra Pradesh,Krishna,Rice,Kharif,14.6,25.4,1020.5,70.9,6.1,Black,N
Andhra Pradesh,Krishna,Wheat,Kharif,14.9,30.9,991.7,66.1,11.8,Laterite,Y
Andhra Pradesh,Krishna,Maize,Annual,19.5,31.1,303.8,81.5,11.5,Loamy,N
Andhra Pradesh,Krishna,Cotton,Kharif,19.7,38.7,551.9,62.1,7.3,Alluvial,Y
Andhra Pradesh,Krishna,Sugarcane,Rabi,11.8,41.9,1680.3,75.4,3.4,Alluvial,N
Andhra Pradesh,Krishna,Soybean,Zaid,10.4,36.3,490.4,51.5,22.3,Red,Y
Andhra Pradesh,Krishna,Mustard,Rabi,14,44.2,1710.6,68.5,5.3,Clay,Y
Andhra Pradesh,Krishna,Potato,Rabi,14.1,37.2,574.3,74.4,28.7,Alluvial,Y
Andhra Pradesh,Krishna,Onion,Annual,9.9,27.9,778.5,80.8,7.3,Laterite,Y
Andhra Pradesh,Krishna,Tomato,Kharif,9.3,41.2,1219.2,62.1,7.6,Loamy,Y
Andhra Pradesh,Krishna,Barley,Kharif,11.8,36,905.7,94,29.3,Loamy,N
Andhra Pradesh,Krishna,Millets,Zaid,18.6,27.9,1449.6,49.6,12.9,Loamy,Y
Andhra Pradesh,Krishna,Groundnut,Zaid,21.9,24.2,819,80.9,25.3,Alluvial,Y
Andhra Pradesh,Krishna,Sunflower,Annual,14.3,44.3,743.6,54.4,12.5,Black,N
Andhra Pradesh,Krishna,Turmeric,Rabi,15.8,30.1,581,85.4,11.4,Laterite,N
Andhra Pradesh,Krishna,Chilli,Kharif,11.8,31.4,1051.9,54.6,7.4,Laterite,Y
Andhra Pradesh,Krishna,Pulses,Annual,12.4,35.8,1381.5,90.3,20.7,Clay,N
Andhra Pradesh,Krishna,Tea,Rabi,19.8,30.1,698.4,62.5,25.8,Red,Y
Andhra Pradesh,Krishna,Coffee,Kharif,19.3,30.1,1083.3,94.5,23.8,Clay,Y
Andhra Pradesh,Krishna,Jute,Rabi,14.3,44.7,272.1,71.6,17.5,Red,N
Andhra Pradesh,Kurnool,Rice,Zaid,21.1,30,1501.7,70,19.8,Clay,N
Andhra Pradesh,Kurnool,Wheat,Annual,15.7,37.6,1651.6,76.5,24.8,Alluvial,Y
Andhra Pradesh,Kurnool,Maize,Kharif,19.8,39.9,751.8,44.3,12.7,Black,N
Andhra Pradesh,Kurnool,Cotton,Rabi,12.9,31.9,1460.1,84.9,14.4,Alluvial,N
Andhra Pradesh,Kurnool,Sugarcane,Annual,15.9,28.6,1413.6,58.4,27,Black,Y
Andhra Pradesh,Kurnool,Soybean,Rabi,16.3,27.9,1262.1,72.2,19.8,Sandy,Y
Andhra Pradesh,Kurnool,Mustard,Annual,20.7,39.1,1583.9,75.4,17.2,Loamy,N
Andhra Pradesh,Kurnool,Potato,Rabi,13.9,29.4,1343.1,49.8,5.8,Clay,N
Andhra Pradesh,Kurnool,Onion,Zaid,10.5,42.9,1753.7,43.6,18.5,Red,N
Andhra Pradesh,Kurnool,Tomato,Kharif,15.1,31.5,660,72.3,25.3,Alluvial,Y
Andhra Pradesh,Kurnool,Barley,Zaid,15,31.4,800.5,78.9,25.5,Black,N
Andhra Pradesh,Kurnool,Millets,Kharif,20.7,29.6,538.7,86.7,17.6,Loamy,Y
Andhra Pradesh,Kurnool,Groundnut,Rabi,17.7,24.3,1475.6,55.2,6.4,Loamy,N
Andhra Pradesh,Kurnool,Sunflower,Rabi,16.5,29.5,451.1,90.6,18,Laterite,N
Andhra Pradesh,Kurnool,Turmeric,Zaid,12.8,31,1768.4,62.9,17.1,Sandy,Y
Andhra Pradesh,Kurnool,Chilli,Kharif,14.2,41.3,1713.2,86.7,18.8,Red,N
Andhra Pradesh,Kurnool,Pulses,Zaid,11.6,28.9,761.1,62.6,12.2,Alluvial,N
Andhra Pradesh,Kurnool,Tea,Zaid,8.3,43.9,435.3,69.1,14.7,Sandy,N
Andhra Pradesh,Kurnool,Coffee,Kharif,19.9,39.7,942.8,85.2,24.6,Alluvial,Y
Andhra Pradesh,Kurnool,Jute,Zaid,14,30.4,676.1,57.6,4.8,Loamy,Y
Andhra Pradesh,Nellore,Rice,Zaid,8.8,29,492.4,79.8,18.7,Clay,N
Andhra Pradesh,Nellore,Wheat,Annual,12.5,41.7,696.7,88.8,26.6,Laterite,Y
Andhra Pradesh,Nellore,Maize,Kharif,15.7,30.3,536.7,69.7,16.7,Clay,Y
Andhra Pradesh,Nellore,Cotton,Annual,15.5,28.2,569,58.2,6.2,Loamy,N
Andhra Pradesh,Nellore,Sugarcane,Kharif,21.3,37.5,1321.1,41.3,13.3,Loamy,N
Andhra Pradesh,Nellore,Soybean,Zaid,8.6,37.5,1107.1,63.3,10.2,Alluvial,Y
Andhra Pradesh,Nellore,Mustard,Rabi,19.3,27.9,1778.5,54.3,17.9,Black,Y
Andhra Pradesh,Nellore,Potato,Rabi,11.6,36.5,1230.1,93.8,6,Loamy,N
Andhra Pradesh,Nellore,Onion,Zaid,13.7,44.2,764.9,43,3,Clay,Y
Andhra Pradesh,Nellore,Tomato,Zaid,19,34.7,841.3,64.9,10.1,Black,Y
Andhra Pradesh,Nellore,Barley,Zaid,19.5,30.4,883.6,80,20.6,Loamy,N
Andhra Pradesh,Nellore,Millets,Zaid,19.4,35.7,603,60.7,24.3,Black,Y
Andhra Pradesh,Nellore,Groundnut,Annual,20.2,41.3,1293.2,52.7,7.3,Red,N
Andhra Pradesh,Nellore,Sunflower,Rabi,20.1,26,1725.5,85.7,27.1,Laterite,N
Andhra Pradesh,Nellore,Turmeric,Zaid,10.7,42,1634.4,41.2,21.1,Clay,Y
Andhra Pradesh,Nellore,Chilli,Annual,14.9,33,754.2,63.2,20.3,Clay,N
Andhra Pradesh,Nellore,Pulses,Kharif,9.6,38.2,1748.8,53.4,15.1,Alluvial,N
Andhra Pradesh,Nellore,Tea,Rabi,16.4,41.5,1492.8,45.4,22.6,Laterite,N
Andhra Pradesh,Nellore,Coffee,Kharif,16.9,35.7,543.6,72.4,9.6,Black,N
Andhra Pradesh,Nellore,Jute,Zaid,18.9,43.7,751.4,63.8,23.1,Laterite,N
Andhra Pradesh,Prakasam,Rice,Annual,19.5,24.9,1767.7,73.2,9.1,Alluvial,Y
Andhra Pradesh,Prakasam,Wheat,Rabi,10.6,39.9,506.1,60.5,18.5,Loamy,N
Andhra Pradesh,Prakasam,Maize,Zaid,15.6,29.9,728.7,58,16,Alluvial,N
Andhra Pradesh,Prakasam,Cotton,Rabi,12.5,36.9,281.9,41.1,20.3,Red,Y
Andhra Pradesh,Prakasam,Sugarcane,Kharif,11.2,40.6,832.2,54.6,16.3,Loamy,N
Andhra Pradesh,Prakasam,Soybean,Annual,20.9,42.5,310.6,46.9,4.1,Sandy,N
Andhra Pradesh,Prakasam,Mustard,Zaid,20,27.9,1391.4,57.7,3.9,Red,Y
Andhra Pradesh,Prakasam,Potato,Zaid,9.3,24.3,1157.4,62.9,25.3,Sandy,Y
Andhra Pradesh,Prakasam,Onion,Zaid,8.8,41.6,321.5,50.1,3.8,Clay,N
Andhra Pradesh,Prakasam,Tomato,Annual,18.1,36.8,617.7,44.6,28.7,Black,Y
Andhra Pradesh,Prakasam,Barley,Annual,15.2,29.5,251,67,13,Laterite,Y
Andhra Pradesh,Prakasam,Millets,Rabi,15,42.7,1062.5,85.8,29.3,Red,Y
Andhra Pradesh,Prakasam,Groundnut,Kharif,10.6,44.7,1625.5,56.7,25.4,Sandy,N
Andhra Pradesh,Prakasam,Sunflower,Zaid,10.9,36.2,597.8,61.1,18.1,Red,Y
Andhra Pradesh,Prakasam,Turmeric,Rabi,9.7,39.1,870.3,78.6,10.6,Laterite,N
Andhra Pradesh,Prakasam,Chilli,Annual,13.7,39.2,477.5,92.5,7.2,Black,N
Andhra Pradesh,Prakasam,Pulses,Annual,16.1,35.8,1098.4,47.4,20.8,Clay,Y
Andhra Pradesh,Prakasam,Tea,Zaid,14.4,25.3,253.4,50.1,8.3,Sandy,N
Andhra Pradesh,Prakasam,Coffee,Kharif,15,29.5,390.8,83.5,12.2,Sandy,Y
Andhra Pradesh,Prakasam,Jute,Annual,14.6,31.8,1091.4,40.7,23.6,Loamy,N
Andhra Pradesh,Srikakulam,Rice,Rabi,12.7,39.6,1556.8,64.3,5.9,Sandy,Y
Andhra Pradesh,Srikakulam,Wheat,Rabi,15.9,31.9,291.4,84.9,13.4,Sandy,Y
Andhra Pradesh,Srikakulam,Maize,Zaid,12.5,34.6,584.9,84.7,14.9,Alluvial,Y
Andhra Pradesh,Srikakulam,Cotton,Kharif,12.4,28.1,1235.7,82.5,19.8,Red,Y
Andhra Pradesh,Srikakulam,Sugarcane,Annual,12.6,35.8,1009,74.8,14.2,Black,Y
Andhra Pradesh,Srikakulam,Soybean,Zaid,9.2,26.9,1057.6,64.7,4.1,Loamy,Y
Andhra Pradesh,Srikakulam,Mustard,Annual,18.6,39.8,464.7,63.1,21.5,Black,Y
Andhra Pradesh,Srikakulam,Potato,Kharif,14.8,39.7,480.5,63.3,16.9,Alluvial,Y
Andhra Pradesh,Srikakulam,Onion,Rabi,13,35.4,982.1,44.7,20.3,Sandy,Y
Andhra Pradesh,Srikakulam,Tomato,Annual,18.7,26.9,1258.7,42.2,27.7,Loamy,Y
Andhra Pradesh,Srikakulam,Barley,Zaid,8.4,29.6,1567.6,65.2,10.8,Clay,N
Andhra Pradesh,Srikakulam,Millets,Zaid,8.4,29.6,422.5,61.1,26.4,Clay,N
Andhra Pradesh,Srikakulam,Groundnut,Annual,20,32.1,1625.9,84.9,25.4,Laterite,Y
Andhra Pradesh,Srikakulam,Sunflower,Annual,10.2,25.6,819.6,50.6,5.2,Laterite,Y
Andhra Pradesh,Srikakulam,Turmeric,Rabi,21.4,41.1,1619.6,66.3,9.5,Sandy,Y
Andhra Pradesh,Srikakulam,Chilli,Rabi,9.2,29.9,616.4,80.3,4,Laterite,Y
Andhra Pradesh,Srikakulam,Pulses,Rabi,10.4,30.5,663.2,75.1,18.4,Black,N
Andhra Pradesh,Srikakulam,Tea,Rabi,18.5,34.4,1467.4,48.2,23.2,Red,N
Andhra Pradesh,Srikakulam,Coffee,Kharif,15.2,33.2,1222.3,49.4,10.3,Black,Y
Andhra Pradesh,Srikakulam,Jute,Kharif,17.2,36.9,627.9,54.3,17.9,Laterite,Y
Andhra Pradesh,Visakhapatnam,Rice,Annual,11.6,38.2,1391.4,42.2,17.4,Laterite,Y
Andhra Pradesh,Visakhapatnam,Wheat,Kharif,19.3,31.4,413.3,52.6,18.1,Loamy,N
Andhra Pradesh,Visakhapatnam,Maize,Kharif,21.4,42.8,1762,80.4,21.9,Clay,Y
Andhra Pradesh,Visakhapatnam,Cotton,Annual,18.8,33.7,903.3,45.7,14.9,Laterite,N
Andhra Pradesh,Visakhapatnam,Sugarcane,Zaid,21.7,24.2,599.9,50,13.1,Red,Y
Andhra Pradesh,Visakhapatnam,Soybean,Annual,13.8,42.8,1014.3,73,20,Red,N
Andhra Pradesh,Visakhapatnam,Mustard,Kharif,21.9,35.7,1546.5,48.4,20.6,Loamy,N
Andhra Pradesh,Visakhapatnam,Potato,Zaid,15.6,44.7,1345.5,59,21.6,Laterite,Y
Andhra Pradesh,Visakhapatnam,Onion,Annual,11.7,34.1,1663.3,59,29.3,Laterite,Y
Andhra Pradesh,Visakhapatnam,Tomato,Rabi,16.8,44.7,1590.6,60.4,24.3,Clay,N
Andhra Pradesh,Visakhapatnam,Barley,Annual,10.7,36.3,962.5,85.2,10.1,Alluvial,Y
Andhra Pradesh,Visakhapatnam,Millets,Rabi,20.6,44.2,1273.5,74.5,12.6,Red,N
Andhra Pradesh,Visakhapatnam,Groundnut,Rabi,12.5,31,1496.3,71.3,17.3,Black,N
Andhra Pradesh,Visakhapatnam,Sunflower,Kharif,8.2,37.3,1465.1,54.5,10.1,Red,N
Andhra Pradesh,Visakhapatnam,Turmeric,Kharif,14.7,38.5,1509.6,50.7,24.7,Red,N
Andhra Pradesh,Visakhapatnam,Chilli,Kharif,20.4,24.6,1349.9,66.1,25.7,Loamy,N
Andhra Pradesh,Visakhapatnam,Pulses,Rabi,20.2,30.4,869.8,68.1,6.1,Laterite,N
Andhra Pradesh,Visakhapatnam,Tea,Rabi,11.9,34,1159.7,48.9,18,Alluvial,Y
Andhra Pradesh,Visakhapatnam,Coffee,Rabi,21.2,38.5,1708,64.2,21.1,Laterite,N
Andhra Pradesh,Visakhapatnam,Jute,Kharif,20.3,26.8,994.3,50.5,19.1,Black,N
Andhra Pradesh,West Godavari,Rice,Annual,21.4,43.8,1435.5,52.7,6.5,Black,N
Andhra Pradesh,West Godavari,Wheat,Rabi,11.4,41.7,1686.8,60,19.3,Black,N
Andhra Pradesh,West Godavari,Maize,Kharif,8.3,33.3,1259.3,92.2,8,Sandy,N
Andhra Pradesh,West Godavari,Cotton,Annual,10.3,30.2,1107.6,79.3,21,Loamy,Y
Andhra Pradesh,West Godavari,Sugarcane,Annual,9.3,31.4,1323.9,78.5,4.5,Clay,N
Andhra Pradesh,West Godavari,Soybean,Annual,9.4,35.4,1578.1,80.9,25.2,Laterite,Y
Andhra Pradesh,West Godavari,Mustard,Rabi,21.2,26.5,1362.6,68.2,12.9,Sandy,N
Andhra Pradesh,West Godavari,Potato,Zaid,17.2,24,749.3,75.8,27.6,Alluvial,N
Andhra Pradesh,West Godavari,Onion,Annual,9.4,24.7,1736.3,63,5.5,Laterite,N
Andhra Pradesh,West Godavari,Tomato,Rabi,21.8,42.2,1086.1,92.7,12.1,Red,N
Andhra Pradesh,West Godavari,Barley,Zaid,14.2,32.8,909,54.7,6.8,Loamy,N
Andhra Pradesh,West Godavari,Millets,Annual,21.9,44.3,1780.1,67.6,16,Laterite,Y
Andhra Pradesh,West Godavari,Groundnut,Rabi,15.1,35.5,263.3,64,16.1,Sandy,N
Andhra Pradesh,West Godavari,Sunflower,Annual,16.6,39.5,1042.4,61.7,23,Laterite,N
Andhra Pradesh,West Godavari,Turmeric,Annual,20.4,27.4,453.5,94.2,27,Clay,N
Andhra Pradesh,West Godavari,Chilli,Zaid,17.9,28.2,937.2,60.7,12.4,Laterite,Y
Andhra Pradesh,West Godavari,Pulses,Annual,15.3,35.6,257.2,58.2,27.4,Sandy,N
Andhra Pradesh,West Godavari,Tea,Kharif,9.5,40.2,555.7,84.6,13.5,Sandy,N
Andhra Pradesh,West Godavari,Coffee,Annual,19.1,31,1273.1,90.2,23.8,Black,N
Andhra Pradesh,West Godavari,Jute,Zaid,8.1,35.4,787.5,63.5,21.1,Loamy,N
Arunachal Pradesh,Tawang,Rice,Annual,19.6,28.5,739,78.6,10.1,Loamy,Y
Arunachal Pradesh,Tawang,Wheat,Zaid,21.6,42.4,271.5,86.9,23.3,Red,Y
Arunachal Pradesh,Tawang,Maize,Zaid,8.5,27.1,1576,59.5,29.6,Sandy,Y
Arunachal Pradesh,Tawang,Cotton,Rabi,20.6,33.9,436.2,52.7,18.8,Sandy,N
Arunachal Pradesh,Tawang,Sugarcane,Zaid,16.6,40.8,1324.1,72,12.3,Clay,N
Arunachal Pradesh,Tawang,Soybean,Rabi,15.6,27.3,1170.7,45.4,6.3,Black,Y
Arunachal Pradesh,Tawang,Mustard,Kharif,10.5,27,302.9,58.1,8.5,Sandy,N
Arunachal Pradesh,Tawang,Potato,Kharif,12.7,25.2,1080.4,78.2,25.6,Sandy,N
Arunachal Pradesh,Tawang,Onion,Rabi,14,30.3,1677.5,54.5,17.2,Black,N
Arunachal Pradesh,Tawang,Tomato,Zaid,17.4,37.7,1017.6,92.9,13.4,Loamy,N
Arunachal Pradesh,Tawang,Barley,Kharif,14.1,43,1680.3,50.3,16.4,Red,Y
Arunachal Pradesh,Tawang,Millets,Annual,12.4,27.4,258.6,53.7,16.1,Loamy,N
Arunachal Pradesh,Tawang,Groundnut,Zaid,14.4,37.5,1306.2,68.6,5.9,Black,Y
Arunachal Pradesh,Tawang,Sunflower,Annual,16.1,44.6,894.6,83.5,14.7,Sandy,Y
Arunachal Pradesh,Tawang,Turmeric,Kharif,20.1,44.6,706.1,66.2,23.1,Alluvial,N
Arunachal Pradesh,Tawang,Chilli,Annual,9,40.7,1063.2,85,4.1,Laterite,Y
Arunachal Pradesh,Tawang,Pulses,Zaid,14,37.5,396.6,53.6,24.8,Red,Y
Arunachal Pradesh,Tawang,Tea,Kharif,15.6,29.2,1252.3,60.2,23.3,Laterite,N
Arunachal Pradesh,Tawang,Coffee,Rabi,18.1,38.2,1413.5,91.2,23,Laterite,Y
Arunachal Pradesh,Tawang,Jute,Annual,9.6,42.7,339.3,82.8,8.1,Loamy,Y
Arunachal Pradesh,West Kameng,Rice,Zaid,18.4,40.5,921.8,61.1,24.8,Clay,Y
Arunachal Pradesh,West Kameng,Wheat,Kharif,11,44.5,1365.8,68.6,19.4,Sandy,N
Arunachal Pradesh,West Kameng,Maize,Zaid,21.5,29.1,839.3,84,3.8,Loamy,N
Arunachal Pradesh,West Kameng,Cotton,Kharif,17.2,44.6,812,65.4,5.7,Alluvial,Y
Arunachal Pradesh,West Kameng,Sugarcane,Zaid,17.7,43.7,269.3,75.9,13,Clay,N
Arunachal Pradesh,West Kameng,Soybean,Annual,10.8,25.9,472,64.7,13.4,Black,N
Arunachal Pradesh,West Kameng,Mustard,Annual,21.5,26.7,1588,73,26,Red,Y
Arunachal Pradesh,West Kameng,Potato,Rabi,10.8,40.9,515,57.4,16.1,Loamy,N
Arunachal Pradesh,West Kameng,Onion,Annual,17.1,45,1497.5,77.3,17.4,Clay,Y
Arunachal Pradesh,West Kameng,Tomato,Annual,20.2,25.7,354.4,63.6,6.5,Alluvial,N
Arunachal Pradesh,West Kameng,Barley,Annual,20.3,32,986.9,47.4,23.6,Laterite,Y
Arunachal Pradesh,West Kameng,Millets,Rabi,8.1,31.5,1698.8,67.8,10.2,Sandy,N
